# Publications from Google Scholar profile MA3CvN0AAAAJ (Santosh Ganji).
# Format: title | venue | Scholar citation count
# Used as: python3 ../../scripts/setup_profile.py --titles ganji_titles.txt

NeurWIN: Neural Whittle index network for restless bandits via deep RL | NeurIPS 2021 | 74
Scheduling and Decoding of Downlink Control Channel in 3GPP Narrowband-IoT | IEEE Access 2020 | 16
Efficient beam sweeping at a mobile device receiver | US Patent 11,178,628 | 14
BeamSurfer: Minimalist beam management of mobile mm-wave devices | IEEE TWC 2022 | 13
Downlink control channel scheduling for 3GPP narrowband-IoT | IEEE PIMRC 2018 | 13
Unblock: Low complexity transient blockage recovery for mobile mm-wave devices | COMSNETS 2021 | 9
Managing power resources of an Internet of Everything (IoE) device | US Patent App. 15/191,757 | 9
TERRA: Beam management for outdoor mm-wave networks | IEEE TWC 2024 | 6
Beamsurfer: simple in-band beam management for mobile mm-wave devices | SIGCOMM'20 Posters | 6
A directional medium access control protocol for 5G millimeter-wave local area networks | COMSNETS 2018 | 6
Overcoming pedestrian blockage in mm-wave bands using ground reflections | arXiv 2021 | 4
Iris: A directional MAC protocol with applications to millimeter-wave mobile ad-hoc networks | COMSNETS 2019 | 4
Novel rate matching scheme for downlink control channel in 3GPP massive machine type communications | COMSNETS 2018 | 4
Terra: blockage resilience in outdoor mm-wave networks | SIGCOMM'22 Posters | 3
Realtime intelligent control for NextG cellular radio access networks | MobiSys 2022 | 3
Improved physical downlink control channel for 3GPP massive machine type communications | COMSNETS 2018 | 3
Seeing the Unseen: The REVEAL protocol to expose the wireless man-in-the-middle | IEEE TWC 2024 | 2
Seeing the Unseen: The REVEAL protocol to catch the wireless man-in-the-middle | ACM S3 Workshop 2023 | 1
Cellular system utilizing beam coherence interval metric | US Patent App. 17/741,188 | 1
Communication Systems and Networks: 10th International Conference, COMSNETS 2018 | Springer 2019 | 1
